game_id,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,player,START_POSITION,COMMENT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,game_date,season,Team,Relinquished,Notes
21100112,1610612748.0,MIA,Miami,2544.0,LeBron James,F,,37.38333333333333,104.8,103.9,91.1,92.4,13.7,11.5,0.474,1.13,23.1,0.0,0.14,0.08900000000000001,20.5,0.647,0.718,0.361,0.364,100.46,100.15,83.46,77.0,0.256,2012-01-07,2011-12,Heat,LeBron James,sprained left ankle (DNP)
21100589,1610612750.0,MIN,Minnesota,201937.0,Ricky Rubio,G,,38.983333333333334,112.3,116.4,107.6,109.3,4.8,7.1,0.4,2.5,35.7,0.028999999999999998,0.077,0.054000000000000006,14.3,0.45799999999999996,0.528,0.209,0.213,93.55,91.13,75.94,73.0,0.113,2012-03-09,2011-12,Timberwolves,Ricky Rubio,torn ACL in left knee (out for season)
21100600,1610612750.0,MIN,Minnesota,201567.0,Kevin Love,F,,41.21666666666667,96.4,92.6,101.0,105.0,-4.6,-12.4,0.0,0.0,0.0,0.11599999999999999,0.282,0.195,6.7,0.478,0.5660000000000001,0.316,0.327,93.73,93.76,78.13,81.0,0.20800000000000002,2012-03-10,2011-12,Timberwolves,Kevin Love,back spasms (DNP)
21100674,1610612743.0,DEN,Denver,201568.0,Danilo Gallinari,F,,22.95,100.8,100.0,119.1,121.3,-18.4,-21.3,0.389,2.33,38.9,0.111,0.19,0.154,16.7,0.14300000000000002,0.254,0.21600000000000005,0.222,98.8,98.3,81.92,47.0,0.047,2012-03-19,2011-12,Nuggets,Danilo Gallinari,fractured right thumb (DTD)
21200152,1610612759.0,SAS,San Antonio,1536.0,Stephen Jackson,F,,10.65,104.9,104.3,73.5,66.7,31.4,37.7,0.0,0.0,0.0,0.0,0.133,0.077,0.0,0.33299999999999996,0.33299999999999996,0.12,0.121,100.68,106.0,88.33,23.0,0.028999999999999998,2012-11-19,2012-13,Spurs,Stephen Jackson,fractured right pinky finger (out indefinitely)
21200238,1610612749.0,MIL,Milwaukee,202327.0,Ekpe Udoh,C,,15.133333333333333,66.2,66.7,112.6,109.4,-46.4,-42.7,0.0,0.0,0.0,0.0,0.111,0.042,20.0,0.667,0.644,0.16699999999999998,0.166,97.18,98.33,81.94,30.0,0.018000000000000002,2012-12-01,2012-13,Bucks,Ekpe Udoh,placed on IL
21200380,1610612761.0,TOR,Toronto,202685.0,Jonas Valanciunas,C,,4.483333333333333,40.0,33.3,66.7,66.7,-26.7,-33.3,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,58.88,64.24,53.53,6.0,0.25,2012-12-21,2012-13,Raptors,Jonas Valanciunas,fractured right ring finger (out indefinitely)
21200673,1610612753.0,ORL,Orlando,201175.0,Glen Davis,F,,4.333333333333333,175.0,175.0,112.5,100.0,62.5,75.0,0.6,0.0,60.0,0.0,0.0,0.0,0.0,0.5,0.5,0.25,0.25,88.62,94.15,78.46,8.0,0.131,2013-01-30,2012-13,Magic,Glen Davis,fractured left foot (out indefinitely)
21200781,1610612764.0,WAS,Washington,202344.0,Trevor Booker,,,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,533.33,533.33,444.44,1.0,1.0,2013-02-13,2012-13,Wizards,Trevor Booker,sore left wrist (DNP)
21200799,1610612766.0,CHA,Charlotte,2732.0,Ben Gordon,,,10.5,123.4,121.1,126.4,127.8,-3.0,-6.7,0.16699999999999998,0.0,12.5,0.0,0.111,0.048,0.0,0.35700000000000004,0.35700000000000004,0.28,0.29600000000000004,84.18,84.54,70.45,19.0,0.026000000000000002,2013-02-20,2012-13,Bobcats,Ben Gordon,sore right knee (DNP)
