game_date,season,Team,Relinquished,Notes,player
2014-11-22,2014-15,Magic,Tobias Harris,strained right calf (DTD),Tobias Harris
2014-11-22,2014-15,Mavericks,Charlie Villanueva,placed on IL,Charlie Villanueva
2014-11-22,2014-15,Nets,Kevin Garnett,placed on IL,Kevin Garnett
2014-11-22,2014-15,Pelicans,Darius Miller,placed on IL,Darius Miller
2014-11-22,2014-15,Pelicans,Omer Asik,placed on IL,Omer Asik
2014-11-22,2014-15,Rockets,Nick Johnson,placed on IL,Nick Johnson
2014-11-22,2014-15,Spurs,Matt Bonner,illness (DNP),Matt Bonner
2014-11-22,2014-15,Wizards,Otto Porter Jr.,left hamstring injury (DNP),Otto Porter Jr.
2014-11-23,2014-15,Celtics,James Young,placed on IL,James Young
2014-11-23,2014-15,Grizzlies,Jordan Adams,placed on IL,Jordan Adams
2014-11-23,2014-15,Lakers,Carlos Boozer,strained left shoulder (DTD),Carlos Boozer
2014-11-24,2014-15,76ers,Jerami Grant,placed on IL,Jerami Grant
2014-11-24,2014-15,Bulls,Taj Gibson,placed on IL,Taj Gibson
2014-11-24,2014-15,Clippers,Matt Barnes,strained left calf (DTD),Matt Barnes
2014-11-24,2014-15,Lakers,Xavier Henry,torn left Achilles tendon (DTD),Xavier Henry
2014-11-24,2014-15,Mavericks,Raymond Felton,placed on IL with ankle injury,Raymond Felton
2014-11-24,2014-15,Pacers,Roy Hibbert,sprained left ankle (DTD),Roy Hibbert
2014-11-24,2014-15,Raptors,Lucas Nogueira,placed on IL,Lucas Nogueira
2014-11-24,2014-15,Rockets,Patrick Beverley,placed on IL with hamstring injury,Patrick Beverley
2014-11-25,2014-15,Bucks,Nate Wolters,illness (DTD),Nate Wolters
2014-11-25,2014-15,Bulls,Joakim Noah,placed on IL with eye abrasion,Joakim Noah
2014-11-25,2014-15,Heat,Chris Andersen,placed on IL with sprained right ankle,Chris Andersen
2014-11-25,2014-15,Kings,Darren Collison,bruised left quadriceps (DTD),Darren Collison
2014-11-25,2014-15,Kings,Rudy Gay,placed on IL with right Achilles injury,Rudy Gay
2014-11-25,2014-15,Nuggets,JaVale McGee,placed on IL with sore left leg (tibia),JaVale McGee
2014-11-25,2014-15,Nuggets,Randy Foye,placed on IL with strained right quadriceps,Randy Foye
2014-11-25,2014-15,Pelicans,Eric Gordon,placed on IL with torn labrum in left shoulder,Eric Gordon
2014-11-25,2014-15,Pistons,Brandon Jennings,hyperextended left thumb (DTD),Brandon Jennings
2014-11-25,2014-15,Timberwolves,Kevin Martin,surgery on right wrist to repair fracture (out indefinitely),Kevin Martin
2014-11-25,2014-15,Wizards,Nene Hilario ,plantar faciitis in right foot (DTD),Nene
2014-11-26,2014-15,Bucks,John Henson,sprained left foot (DTD),John Henson
2014-11-26,2014-15,Clippers,Matt Barnes,placed on IL with strained left calf,Matt Barnes
2014-11-26,2014-15,Hawks,Thabo Sefolosha,placed on IL with illness,Thabo Sefolosha
2014-11-26,2014-15,Hornets,Gary Neal,placed on IL with left shoulder injury,Gary Neal
2014-11-26,2014-15,Knicks,Carmelo Anthony,back spasms (DTD),Carmelo Anthony
2014-11-26,2014-15,Magic,Aaron Gordon,placed on IL with fractured left foot,Aaron Gordon
2014-11-26,2014-15,Mavericks,Jameer Nelson,placed on IL with back spasms,Jameer Nelson
2014-11-26,2014-15,Nets,Markel Brown,placed on IL,Markel Brown
2014-11-26,2014-15,Raptors,Bruno Caboclo,placed on IL,Bruno Caboclo
2014-11-26,2014-15,Spurs,Cory Joseph,sprained left ankle (DTD),Cory Joseph
2014-11-26,2014-15,Suns,Isaiah Thomas,placed on IL with ankle injury,Isaiah Thomas
2014-11-26,2014-15,Timberwolves,Kevin Martin,placed on IL recovering from surgery on right wrist to repair fracture,Kevin Martin
2014-11-26,2014-15,Timberwolves,Mo Williams,illness (DTD),Mo Williams
2014-11-26,2014-15,Warriors,Leandro Barbosa,knee injury (DTD),Leandro Barbosa
2014-11-26,2014-15,Pistons,Tony Mitchell ,placed on IL,Tony Mitchell
2014-11-28,2014-15,Clippers,C.J. Wilcox,placed on IL,C.J. Wilcox
2014-11-28,2014-15,Hornets,Marvin Williams,sprained left shoulder (DTD),Marvin Williams
2014-11-28,2014-15,Kings,DeMarcus Cousins,placed on IL with illness,DeMarcus Cousins
2014-11-28,2014-15,Mavericks,Ricky Ledo,placed on IL,Ricky Ledo
2014-11-28,2014-15,Pelicans,Patric Young,placed on IL,Patric Young
2014-11-28,2014-15,Pistons,Brandon Jennings,"fined $15,000 by NBA for making an obscene gesture during game",Brandon Jennings
2014-11-28,2014-15,Raptors,Lucas Nogueira,placed on IL,Lucas Nogueira
2014-11-28,2014-15,Suns,Zoran Dragic,placed on IL,Zoran Dragic
2014-11-28,2014-15,Hawks,John Jenkins,placed on IL,John Jenkins
2014-11-28,2014-15,Mavericks,Jameer Nelson,back spasms (DTD),Jameer Nelson
2014-11-29,2014-15,76ers,Tony Wroten Jr.,placed on IL with sprained right knee,Tony Wroten
2014-11-29,2014-15,Cavaliers,Anderson Varejao,placed on IL with bruised ribs,Anderson Varejao
2014-11-29,2014-15,Jazz,Jeremy Evans,sprained left ankle (DTD),Jeremy Evans
2014-11-29,2014-15,Mavericks,Dirk Nowitzki,rest (DTD),Dirk Nowitzki
2014-11-29,2014-15,Pelicans,Russ Smith,placed on IL,Russ Smith
2014-11-29,2014-15,Raptors,DeMar DeRozan,torn tendon in left groin (out indefinitely),DeMar DeRozan
2014-11-29,2014-15,Rockets,Isaiah Canaan,left ankle injury (DTD),Isaiah Canaan
2014-11-30,2014-15,Blazers,Will Barton,placed on IL with stomach virus,Will Barton
2014-11-30,2014-15,Heat,Andre Dawkins,placed on IL,Andre Dawkins
2014-11-30,2014-15,Raptors,Bruno Caboclo,placed on IL,Bruno Caboclo
2014-11-30,2014-15,Raptors,DeMar DeRozan,placed on IL with torn tendon in left groin,DeMar DeRozan
2014-11-30,2014-15,Suns,Tyler Ennis,placed on IL,Tyler Ennis
2014-12-01,2014-15,76ers,Nerlens Noel,hip flexor injury (DNP),Nerlens Noel
2014-12-01,2014-15,Jazz,Derrick Favors,flu (DTD),Derrick Favors
2014-12-01,2014-15,Nuggets,Erick Green,placed on IL,Erick Green
2014-12-01,2014-15,Spurs, Tony Parker,bruised ribs (DTD),Tony Parker
2014-12-01,2014-15,Spurs,Tim Duncan,rest (DTD),Tim Duncan
2014-12-02,2014-15,Bulls,Doug McDermott,placed on IL with torn meniscus in right knee,Doug McDermott
2014-12-02,2014-15,Cavaliers,Alex Kirk,placed on IL,Alex Kirk
2014-12-02,2014-15,Knicks,J.R. Smith,flu (DTD),JR Smith
2014-12-02,2014-15,Magic,Nikola Vucevic,back spasms (DTD),Nikola Vucevic
2014-12-02,2014-15,Raptors,Lucas Nogueira,placed on IL,Lucas Nogueira
2014-12-02,2014-15,Suns,Zoran Dragic,placed on IL,Zoran Dragic
2014-12-02,2014-15,Thunder,Perry Jones III,placed on IL,Perry Jones III
2014-12-03,2014-15,76ers,Alexey Shved,strained left hip flexor (DTD),Alexey Shved
2014-12-03,2014-15,Bucks,Ersan Ilyasova,fractured nose (DTD),Ersan Ilyasova
2014-12-03,2014-15,Celtics,Dwight Powell,placed on IL,Dwight Powell
2014-12-03,2014-15,Clippers,Reggie Bullock,placed on IL with sprained right ankle,Reggie Bullock
2014-12-03,2014-15,Heat,Norris Cole ,placed on IL with illness,Norris Cole
2014-12-03,2014-15,Jazz,Alec Burks,left shoulder injury (DNP),Alec Burks
2014-12-03,2014-15,Jazz,Trey Burke,placed on IL,Trey Burke
2014-12-03,2014-15,Mavericks,Dirk Nowitzki,sore back (DTD),Dirk Nowitzki
2014-12-03,2014-15,Nets,Kevin Garnett,placed on IL,Kevin Garnett
2014-12-03,2014-15,Rockets,Isaiah Canaan,placed on IL,Isaiah Canaan
2014-12-04,2014-15,Blazers,Dorell Wright,placed on IL with illness,Dorell Wright
2014-12-05,2014-15,Heat,Andre Dawkins,placed on IL,Andre Dawkins
2014-12-05,2014-15,Heat,Luol Deng,bruised right hand (DTD),Luol Deng
2014-12-05,2014-15,Jazz,Alec Burks,placed on IL with left shoulder injury,Alec Burks
2014-12-05,2014-15,Nets,Sergey Karasev,placed on IL,Sergey Karasev
2014-12-05,2014-15,Nuggets,Jusuf Nurkic,placed on IL,Jusuf Nurkic
2014-12-05,2014-15,Thunder,Grant Jerrett,placed on IL,Grant Jerrett
2014-12-05,2014-15,Timberwolves,Mo Williams,back spasms (DTD),Mo Williams
2014-12-05,2014-15,Heat,Norris Cole ,cold (DTD),Norris Cole
2014-12-06,2014-15,Clippers,Jordan Farmar,placed on IL with back injury,Jordan Farmar
2014-12-06,2014-15,Magic,Nikola Vucevic,placed on IL with back spasms,Nikola Vucevic
2014-12-06,2014-15,Pelicans,Russ Smith,placed on IL,Russ Smith
2014-12-06,2014-15,Rockets,Kostas Papanikolaou,strained right knee (DTD),Kostas Papanikolaou
2014-12-06,2014-15,Spurs, Tony Parker,strained left hamstring (DTD),Tony Parker
2014-12-06,2014-15,Spurs,Manu Ginobili,left shoulder impingement (DTD),Manu Ginobili
2014-12-07,2014-15,Blazers,Victor Claver,placed on IL,Victor Claver
2014-12-07,2014-15,Hawks,Mike Muscala,placed on IL,Mike Muscala
2014-12-07,2014-15,Nuggets,JaVale McGee,strained left lower leg (DTD),JaVale McGee
2014-12-07,2014-15,Nuggets,Kenneth Faried,strained lower back (DTD),Kenneth Faried
2014-12-07,2014-15,Nuggets,Nate Robinson,bruised back (DTD),Nate Robinson
2014-12-07,2014-15,Pacers,Ian Mahinmi,torn plantar fascia in left foot (out indefinitely),Ian Mahinmi
2014-12-08,2014-15,Cavaliers,Mike Miller,placed on IL with concussion,Mike Miller
2014-12-08,2014-15,Jazz,Toure Murry,placed on IL,Toure' Murry
2014-12-08,2014-15,Nets,Brook Lopez,placed on IL with strained lower back,Brook Lopez
2014-12-08,2014-15,Nets,Joe Johnson,flu (DTD),Joe Johnson
2014-12-08,2014-15,Wizards,Nene Hilario ,sore left (P) / right knee (DTD),Nene
2014-12-09,2014-15,Grizzlies,Jarnell Stokes,placed on IL,Jarnell Stokes
2014-12-10,2014-15,Bulls,Joakim Noah,placed on IL with sprained right ankle,Joakim Noah
2014-12-10,2014-15,Hawks, Mike Scott,placed on IL with flu,Mike Scott
2014-12-10,2014-15,Heat,Josh McRoberts,torn meniscus in right knee (out for season),Josh McRoberts
2014-12-10,2014-15,Knicks,Carmelo Anthony,sore left knee (DTD),Carmelo Anthony
2014-12-10,2014-15,Knicks,J.R. Smith,sore left heel (DTD),JR Smith
2014-12-10,2014-15,Mavericks,Jameer Nelson,sore right shoulder (DTD),Jameer Nelson
2014-12-10,2014-15,Nets,Joe Johnson,placed on IL with flu,Joe Johnson
2014-12-10,2014-15,Nets,Mirza Teletovic,right hip pointer (DTD),Mirza Teletovic
2014-12-10,2014-15,Nuggets,Danilo Gallinari,placed on IL with bone bruise in right knee,Danilo Gallinari
2014-12-10,2014-15,Rockets,Francisco Garcia,strained right Achilles (DTD),Francisco Garcia
2014-12-10,2014-15,Rockets,Kostas Papanikolaou,placed on IL,Kostas Papanikolaou
2014-12-10,2014-15,Spurs,Manu Ginobili,rest (DTD),Manu Ginobili
2014-12-10,2014-15,Spurs,Kawhi Leonard,placed on IL with bruised right hand,Kawhi Leonard
2014-12-10,2014-15,Spurs,Tim Duncan,rest (DTD),Tim Duncan
2014-12-10,2014-15,Warriors,Andrew Bogut,placed on IL with right knee injury,Andrew Bogut
2014-12-11,2014-15,Cavaliers,LeBron James,sore left knee (DTD),LeBron James
2014-12-11,2014-15,Kings,Omri Casspi,bone bruise in left knee (DTD),Omri Casspi
2014-12-11,2014-15,Rockets,Francisco Garcia,placed on IL,Francisco Garcia
2014-12-11,2014-15,Rockets,Isaiah Canaan,sprained left knee (DTD),Isaiah Canaan
2014-12-12,2014-15,76ers,Andrei Kirilenko,placed on IL,Andrei Kirilenko
2014-12-12,2014-15,Celtics,Avery Bradley,placed on IL with flu,Avery Bradley
2014-12-12,2014-15,Celtics,James Young,placed on IL with dislocated right shoulder,James Young
2014-12-12,2014-15,Grizzlies,Jordan Adams,placed on IL,Jordan Adams
2014-12-12,2014-15,Hawks,Pero Antic,placed on IL with flu,Pero Antic
2014-12-12,2014-15,Hornets,Noah Vonleh,placed on IL,Noah Vonleh
2014-12-12,2014-15,Nets,Mirza Teletovic,placed on IL,Mirza Teletovic
2014-12-12,2014-15,Pistons,Gigi Datome,placed on IL,Gigi Datome
2014-12-12,2014-15,Raptors,Bruno Caboclo,placed on IL,Bruno Caboclo
2014-12-12,2014-15,Suns,Tyler Ennis,placed on IL,Tyler Ennis
2014-12-13,2014-15,76ers,K.J. McDaniels,sprained left ankle (DTD),KJ McDaniels
2014-12-13,2014-15,Bucks,Ersan Ilyasova,placed on IL with fractured nose,Ersan Ilyasova
2014-12-13,2014-15,Bucks,John Henson,placed on IL with sprained left foot,John Henson
2014-12-13,2014-15,Bulls,Doug McDermott,arthroscopic surgery on right knee to repair torn meniscus (out indefinitely),Doug McDermott
2014-12-13,2014-15,Clippers,C.J. Wilcox,placed on IL,C.J. Wilcox
2014-12-13,2014-15,Clippers,Spencer Hawes,placed on IL with bruised left knee,Spencer Hawes
2014-12-13,2014-15,Kings,Omri Casspi,placed on IL with bone bruise in left knee,Omri Casspi
2014-12-13,2014-15,Magic,Roy Marble ,placed on IL,Devyn Marble
2014-12-13,2014-15,Mavericks,Chandler Parsons,placed on IL with sore lower back,Chandler Parsons
2014-12-13,2014-15,Nets,Kevin Garnett,rest (DTD),Kevin Garnett
2014-12-13,2014-15,Nuggets,JaVale McGee,placed on IL with strained left lower leg,JaVale McGee
2014-12-13,2014-15,Pacers,C.J. Miles,bruised left knee (DTD),CJ Miles
2014-12-13,2014-15,Rockets,Isaiah Canaan,sprained left ankle (DTD),Isaiah Canaan
2014-12-13,2014-15,Bucks,Damien Inglis,right ankle injury (out for season),Damien Inglis
2014-12-13,2014-15,Nuggets,Danilo Gallinari,bruised right knee (DTD),Danilo Gallinari
2014-12-14,2014-15,Heat,Chris Bosh,strained left calf (out indefinitely),Chris Bosh
2014-12-14,2014-15,Heat,Hassan Whiteside,placed on IL,Hassan Whiteside
2014-12-14,2014-15,Heat,Shabazz Napier,placed on IL,Shabazz Napier
2014-12-14,2014-15,Jazz,Derrick Favors,placed on IL with sprained right ankle,Derrick Favors
2014-12-14,2014-15,Knicks,Iman Shumpert,placed on IL with dislocated left shoulder,Iman Shumpert
2014-12-14,2014-15,Nuggets,Kenneth Faried,strained right ankle (DTD),Kenneth Faried
2014-12-14,2014-15,Pelicans,Anthony Davis,chest injury (DTD),Anthony Davis
2014-12-14,2014-15,Raptors,Lucas Nogueira,placed on IL,Lucas Nogueira
2014-12-14,2014-15,Spurs, Tony Parker,placed on IL with strained left hamstring,Tony Parker
2014-12-14,2014-15,Suns,Goran Dragic,placed on IL with sore/strained lower back,Goran Dragic
2014-12-14,2014-15,Thunder,Lance Thomas,placed on IL,Lance Thomas
2014-12-15,2014-15,Celtics,Marcus Smart,strained left Achilles (DTD),Marcus Smart
2014-12-15,2014-15,Celtics,Marcus Thornton ,placed on IL with calf injury,Marcus Thornton
2014-12-15,2014-15,Raptors,Bruno Caboclo,placed on IL,Bruno Caboclo
2014-12-15,2014-15,Spurs,Manu Ginobili,bruised lower back (DTD),Manu Ginobili
2014-12-15,2014-15,Spurs,Tiago Splitter,calf injury (DTD),Tiago Splitter
2014-12-15,2014-15,Spurs,Tim Duncan,rest (DTD),Tim Duncan
2014-12-16,2014-15,Bucks,Jabari Parker,torn ACL in left knee (out for season),Jabari Parker
2014-12-16,2014-15,Heat,Chris Bosh,placed on IL with strained left calf,Chris Bosh
2014-12-16,2014-15,Heat,Danny Granger,illness (DTD),Danny Granger
2014-12-16,2014-15,Heat,Josh McRoberts,placed on IL with torn meniscus in right knee (out for season),Josh McRoberts
2014-12-16,2014-15,Mavericks,Ricky Ledo,placed on IL,Ricky Ledo
2014-12-16,2014-15,Nets,Markel Brown,placed on IL,Markel Brown
2014-12-16,2014-15,Thunder,Mitch McGary,placed on IL with shin/tibia injury,Mitch McGary
2014-12-16,2014-15,Timberwolves,Ronny Turiaf,arthroscopic surgery on right hip (out for season),Ronny Turiaf
2014-12-16,2014-15,Wizards,Paul Pierce,sore right toe (DTD),Paul Pierce
2014-12-17,2014-15,Blazers,Robin Lopez,placed on IL with fractured right hand,Robin Lopez
2014-12-17,2014-15,Grizzlies,Tony Allen,right eye injury (DTD),Tony Allen
2014-12-17,2014-15,Hawks,Jeff Teague,placed on IL with hamstring injury,Jeff Teague
2014-12-17,2014-15,Jazz,Toure Murry,placed on IL,Toure' Murry
2014-12-17,2014-15,Nets,Sergey Karasev,strained left oblique (DTD),Sergey Karasev
2014-12-17,2014-15,Raptors,Lucas Nogueira,placed on IL (not CBC),Lucas Nogueira
2014-12-17,2014-15,Spurs,Kawhi Leonard,bruised right hand (DTD),Kawhi Leonard
2014-12-17,2014-15,Suns,Tyler Ennis,placed on IL,Tyler Ennis
2014-12-18,2014-15,Bucks,Larry Sanders ,suspended by NBA for 1 game for shoving opposing player,Larry Sanders
2014-12-18,2014-15,Bulls,Derrick Rose,placed on IL with illness,Derrick Rose
2014-12-18,2014-15,Bulls,Taj Gibson,placed on IL with sprained right ankle,Taj Gibson
2014-12-18,2014-15,Kings,Reggie Evans,placed on IL with bruised left knee,Reggie Evans
2014-12-18,2014-15,Knicks,Carmelo Anthony,sore left knee (DTD),Carmelo Anthony
2014-12-18,2014-15,Pelicans,Tyreke Evans,bruised right knee (DTD),Tyreke Evans
2014-12-18,2014-15,Rockets,Clint Capela,placed on IL,Clint Capela
2014-12-19,2014-15,76ers,Furkan Aldemir,plantar fasciitis right foot in (DTD),Furkan Aldemir
2014-12-19,2014-15,Blazers,Nicolas Batum,placed on IL with left knee injury,Nicolas Batum
2014-12-19,2014-15,Hornets,Lance Stephenson,bruised pelvis (DTD),Lance Stephenson
2014-12-19,2014-15,Nuggets,Darrell Arthur,strained left leg (DTD),Darrell Arthur
2014-12-19,2014-15,Thunder,Kendrick Perkins,left knee injury (DTD),Kendrick Perkins
2014-12-20,2014-15,Hornets,Lance Stephenson,placed on IL with bruised pelvis,Lance Stephenson
2014-12-20,2014-15,Knicks,Amar'e Stoudemire,rest (DTD),Amar'e Stoudemire
2014-12-20,2014-15,Pacers,C.J. Watson,upper respiratory ailment (DTD),C.J. Watson
2014-12-20,2014-15,Spurs,Danny Green,rest (DTD),Danny Green
2014-12-20,2014-15,Spurs,Manu Ginobili,rest (DTD),Manu Ginobili
2014-12-20,2014-15,Spurs,Tiago Splitter,rest (DTD),Tiago Splitter
2014-12-20,2014-15,Spurs,Tim Duncan,rest (DTD),Tim Duncan
2014-12-21,2014-15,76ers,Hollis Thompson,upper respiratory illness (DTD),Hollis Thompson
2014-12-21,2014-15,Grizzlies,Zach Randolph,placed on IL with sore right knee,Zach Randolph
2014-12-21,2014-15,Heat,Dwyane Wade,bruised right knee (DTD),Dwyane Wade
2014-12-21,2014-15,Heat,Hassan Whiteside,left toe injury (DTD),Hassan Whiteside
2014-12-21,2014-15,Kings,Eric Moreland,placed on IL,Eric Moreland
2014-12-21,2014-15,Kings,Ramon Sessions,back injury (DTD),Ramon Sessions
2014-12-21,2014-15,Magic,Willie Green,placed on IL with illness,Willie Green
2014-12-21,2014-15,Nets,Deron Williams,placed on IL with strained right calf,Deron Williams
2014-12-21,2014-15,Nuggets,Danilo Gallinari,torn meniscus in right knee (out indefinitely),Danilo Gallinari
2014-12-21,2014-15,Raptors,Landry Fields,placed on IL with concussion,Landry Fields
2014-12-21,2014-15,Timberwolves,Nikola Pekovic,placed on IL with right ankle injury,Nikola Pekovic
2014-12-22,2014-15,Blazers,LaMarcus Aldridge,placed on IL with upper respiratory illness,LaMarcus Aldridge
2014-12-22,2014-15,Nuggets,Danilo Gallinari,surgery on right knee to repair torn meniscus (out indefinitely),Danilo Gallinari
2014-12-22,2014-15,Nuggets,Danilo Gallinari,placed on IL recovering from surgery on right knee to repair torn meniscus,Danilo Gallinari
2014-12-22,2014-15,Spurs,Kawhi Leonard,placed on IL with bruised right hand,Kawhi Leonard
2014-12-23,2014-15,76ers,Tony Wroten Jr.,sprained right knee (DTD),Tony Wroten
2014-12-23,2014-15,Blazers,Nicolas Batum,placed on IL with wrist injury,Nicolas Batum
2014-12-23,2014-15,Blazers,Robin Lopez,placed on IL with fractured right hand (P),Robin Lopez
2014-12-23,2014-15,Bucks,Jabari Parker,placed on IL with torn ACL in left knee (out for season),Jabari Parker
2014-12-23,2014-15,Bulls,Kirk Hinrich,placed on IL with hamstring injury / tendinitis in left knee (P),Kirk Hinrich
2014-12-23,2014-15,Hawks,John Jenkins,placed on IL,John Jenkins
2014-12-23,2014-15,Hawks,Pero Antic,sprained right ankle (DTD),Pero Antic
2014-12-23,2014-15,Heat,Josh McRoberts,surgery on right knee to repair torn meniscus (out for season),Josh McRoberts
2014-12-23,2014-15,Heat,Justin Hamilton ,concussion (DTD),Justin Hamilton
2014-12-23,2014-15,Lakers,Kobe Bryant,general soreness / rest (DTD),Kobe Bryant
2014-12-23,2014-15,Magic,Roy Marble ,placed on IL,Devyn Marble
2014-12-23,2014-15,Nets,Markel Brown,placed on IL,Markel Brown
2014-12-23,2014-15,Pacers,Damjan Rudez,upper respiratory infection (DTD),Damjan Rudez
2014-12-23,2014-15,Pacers,Ian Mahinmi,placed on IL with torn plantar fascia in left foot,Ian Mahinmi
2014-12-25,2014-15,Cavaliers,A.J. Price,placed on IL,AJ Price
2014-12-25,2014-15,Cavaliers,Anderson Varejao,placed on IL with left Achilles injury (out for season),Anderson Varejao
2014-12-25,2014-15,Spurs,Boris Diaw,illness (DTD),Boris Diaw
2014-12-25,2014-15,Warriors,Festus Ezeli,placed on IL with sprained ankle,Festus Ezeli
2014-12-26,2014-15,Blazers,LaMarcus Aldridge,placed on IL with upper respiratory infection,LaMarcus Aldridge
2014-12-26,2014-15,Bucks,Damien Inglis,placed on IL with right ankle injury (out for season),Damien Inglis
2014-12-26,2014-15,Bucks,Ersan Ilyasova,concussion (DTD),Ersan Ilyasova
2014-12-26,2014-15,Cavaliers,Anderson Varejao,surgery to repair torn left Achilles tendon (out for season),Anderson Varejao
2014-12-26,2014-15,Cavaliers,Kyrie Irving,placed on IL with bruised left knee,Kyrie Irving
2014-12-26,2014-15,Hawks,Pero Antic,placed on IL with sprained right ankle,Pero Antic
2014-12-26,2014-15,Hornets,Jannero Pargo,placed on IL with back injury,Jannero Pargo
2014-12-26,2014-15,Kings,DeMarcus Cousins,placed on IL with illness / stomach flu,DeMarcus Cousins
2014-12-26,2014-15,Kings,Ramon Sessions,strained lower back (DTD),Ramon Sessions
2014-12-26,2014-15,Nets,Cory Jefferson,placed on IL,Cory Jefferson
2014-12-26,2014-15,Spurs, Tony Parker,strained hamstring (DTD),Tony Parker
2014-12-26,2014-15,Suns,Archie Goodwin,placed on IL,Archie Goodwin
2014-12-26,2014-15,Suns,Tony Mitchell ,placed on IL,Tony Mitchell
2014-12-27,2014-15,76ers,Luc Mbah a Moute,strained left calf (DTD),Luc Mbah a Moute
2014-12-27,2014-15,Hawks,Adreian Payne,placed on IL,Adreian Payne
2014-12-27,2014-15,Jazz,Alec Burks,placed on IL with left shoulder injury (out for season),Alec Burks
2014-12-27,2014-15,Kings,Ramon Sessions,placed on IL with strained lower back,Ramon Sessions
2014-12-27,2014-15,Knicks,Amar'e Stoudemire,sore right knee (DTD),Amar'e Stoudemire
2014-12-27,2014-15,Pacers,C.J. Miles,upper respiratory infection / illness (DTD),CJ Miles
2014-12-27,2014-15,Raptors,Bruno Caboclo,placed on IL,Bruno Caboclo
2014-12-27,2014-15,Rockets,Alexey Shved,sprained left ankle (DTD),Alexey Shved
2014-12-27,2014-15,Raptors,Landry Fields,concussion (DTD),Landry Fields
2014-12-28,2014-15,Knicks,Samuel Dalembert,sprained right ankle (DTD),Samuel Dalembert
2014-12-28,2014-15,Mavericks,Tyson Chandler,placed on IL with back spasms,Tyson Chandler
2014-12-28,2014-15,Spurs, Tony Parker,placed on IL with strained hamstring,Tony Parker
2014-12-29,2014-15,Clippers,Chris Douglas-Roberts,placed on IL,Chris Douglas-Roberts
2014-12-29,2014-15,Heat,Justin Hamilton ,placed on IL with concussion,Justin Hamilton
2014-12-29,2014-15,Hornets,Jeff Taylor ,placed on IL,Jeffery Taylor
2014-12-29,2014-15,Hornets,Noah Vonleh,placed on IL,Noah Vonleh
2014-12-29,2014-15,Kings,Eric Moreland,left shoulder injury (out for season),Eric Moreland
2014-12-29,2014-15,Wizards,DeJuan Blair,placed on IL,DeJuan Blair
2014-12-29,2014-15,Hornets,Lance Stephenson,bruised pelvis (DTD),Lance Stephenson
2014-12-30,2014-15,Blazers,Meyers Leonard,placed on IL with strained left shoulder,Meyers Leonard
2014-12-30,2014-15,Cavaliers,LeBron James,placed on IL with strained left knee,LeBron James
2014-12-30,2014-15,Cavaliers,Shawn Marion,sprained left ankle (DTD),Shawn Marion
2014-12-30,2014-15,Hawks,Al Horford,illness (DTD),Al Horford
2014-12-30,2014-15,Mavericks,Ricky Ledo,placed on IL,Ricky Ledo
2014-12-30,2014-15,Nets,Kevin Garnett,placed on IL,Kevin Garnett
2014-12-30,2014-15,Nuggets,Darrell Arthur,leg injury (DTD),Darrell Arthur
2014-12-30,2014-15,Wizards,Drew Gooden,placed on IL with knee injury,Drew Gooden
2014-12-31,2014-15,Bucks,Jerryd Bayless,sore left knee (DTD),Jerryd Bayless
2014-12-31,2014-15,Cavaliers,Kevin Love,back spasms (DTD),Kevin Love
2014-12-31,2014-15,Hornets,Al Jefferson,strained adductor muscle in left groin (out indefinitely),Al Jefferson
2014-12-31,2014-15,Hornets,Al Jefferson,placed on IL with strained adductor muscle in left groin,Al Jefferson
2014-12-31,2014-15,Jazz,Alec Burks,surgery on left shoulder (out for season),Alec Burks
2014-12-31,2014-15,Kings,Eric Moreland,placed on IL with left shoulder injury (out for season),Eric Moreland
2014-12-31,2014-15,Suns,Zoran Dragic,placed on IL,Zoran Dragic
2014-12-31,2014-15,Thunder,Lance Thomas,placed on IL,Lance Thomas
2015-01-01,2014-15,Kings,Omri Casspi,placed on IL with left knee injury,Omri Casspi
2015-01-02,2014-15,Bucks,Larry Sanders ,placed on IL,Larry Sanders
2015-01-02,2014-15,Jazz,Rodney Hood,left heel injury (out indefinitely),Rodney Hood
2015-01-02,2014-15,Knicks,Carmelo Anthony,sore left knee (DTD),Carmelo Anthony
2015-01-02,2014-15,Knicks,Tim Hardaway Jr.,placed on IL with concussion,Tim Hardaway Jr.
2015-01-02,2014-15,Magic,Moe Harkless,placed on IL,Maurice Harkless
2015-01-02,2014-15,Nets,Cory Jefferson,placed on IL,Cory Jefferson
2015-01-02,2014-15,Pacers,C.J. Watson,sore left foot (DTD),C.J. Watson
2015-01-02,2014-15,Pacers,George Hill,sore/strained left groin (DTD),George Hill
2015-01-02,2014-15,Pistons,Spencer Dinwiddie,placed on IL,Spencer Dinwiddie
2015-01-02,2014-15,Suns,Tyler Ennis,placed on IL,Tyler Ennis
2015-01-03,2014-15,76ers,Michael Carter-Williams,sore right shoulder (DTD),Michael Carter-Williams
2015-01-03,2014-15,Blazers,Victor Claver,placed on IL,Victor Claver
2015-01-03,2014-15,Bulls,Mike Dunleavy Jr.,placed on IL with right ankle injury,Mike Dunleavy
2015-01-03,2014-15,Celtics,Jameer Nelson,sprained right ankle (DTD),Jameer Nelson
2015-01-03,2014-15,Grizzlies,Beno Udrih,bruised lower left leg (DTD),Beno Udrih
2015-01-03,2014-15,Jazz,Enes Kanter,sprained right ankle (out indefinitely),Enes Kanter
