game_id,team_id_a,team_id_b,away_home_a
21000421,1610612737,1610612739,1
21000422,1610612765,1610612761,0
21000423,1610612741,1610612764,0
21000424,1610612738,1610612755,1
21000425,1610612752,1610612760,1
21000426,1610612750,1610612762,1
21000427,1610612751,1610612740,0
21000428,1610612743,1610612759,0
21000429,1610612745,1610612746,0
21000430,1610612753,1610612759,1
21000431,1610612749,1610612758,0
21000432,1610612748,1610612756,0
21000433,1610612741,1610612752,0
21000434,1610612738,1610612753,0
21000435,1610612747,1610612748,1
21000436,1610612743,1610612760,0
21000437,1610612744,1610612757,1
21000438,1610612746,1610612756,1
21000439,1610612739,1610612750,1
21000440,1610612741,1610612765,0
21000441,1610612754,1610612763,1
21000442,1610612737,1610612740,0
21000443,1610612759,1610612764,1
21000444,1610612743,1610612755,1
21000445,1610612766,1610612765,1
21000446,1610612751,1610612753,1
21000447,1610612763,1610612761,1
21000448,1610612737,1610612749,0
21000449,1610612750,1610612740,1
21000450,1610612742,1610612760,0
21000451,1610612745,1610612764,1
21000452,1610612757,1610612762,0
21000453,1610612746,1610612758,0
21000454,1610612744,1610612755,1
21000455,1610612739,1610612753,1
21000456,1610612738,1610612754,0
21000457,1610612748,1610612752,1
21000458,1610612741,1610612749,1
21000459,1610612742,1610612761,1
21000460,1610612747,1610612759,0
21000461,1610612743,1610612757,1
21000462,1610612737,1610612744,1
21000463,1610612766,1610612739,1
21000464,1610612754,1610612764,0
21000465,1610612738,1610612765,0
21000466,1610612743,1610612750,0
21000467,1610612747,1610612740,0
21000468,1610612751,1610612760,0
21000469,1610612745,1610612748,1
21000470,1610612755,1610612756,0
21000471,1610612763,1610612758,0
21000472,1610612746,1610612762,1
21000473,1610612752,1610612753,0
21000474,1610612742,1610612759,1
21000475,1610612757,1610612762,1
21000476,1610612738,1610612740,1
21000477,1610612766,1610612744,1
21000478,1610612754,1610612764,1
21000479,1610612741,1610612751,1
21000480,1610612745,1610612761,1
21000481,1610612737,1610612760,0
21000482,1610612765,1610612756,0
21000483,1610612747,1610612755,1
21000484,1610612740,1610612764,0
21000485,1610612741,1610612739,1
21000486,1610612744,1610612748,0
21000487,1610612750,1610612751,1
21000488,1610612760,1610612759,0
21000489,1610612742,1610612749,0
21000490,1610612743,1610612758,1
21000491,1610612763,1610612762,0
21000492,1610612754,1610612752,0
21000493,1610612737,1610612746,0
21000494,1610612738,1610612761,0
21000495,1610612739,1610612742,1
21000496,1610612745,1610612757,0
21000497,1610612756,1610612758,0
21000498,1610612747,1610612763,1
21000499,1610612766,1610612748,1
21000500,1610612744,1610612753,0
21000501,1610612738,1610612750,1
21000502,1610612740,1610612755,1
21000503,1610612743,1610612745,1
21000504,1610612765,1610612762,0
21000505,1610612748,1610612749,1
21000506,1610612752,1610612759,1
21000507,1610612741,1610612761,1
21000508,1610612763,1610612760,1
21000509,1610612742,1610612757,1
21000510,1610612737,1610612758,0
21000511,1610612765,1610612747,0
21000512,1610612739,1610612761,1
21000513,1610612741,1610612751,0
21000514,1610612749,1610612753,0
21000515,1610612755,1610612764,1
21000516,1610612738,1610612759,1
21000517,1610612766,1610612750,0
21000518,1610612744,1610612740,0
21000519,1610612745,1610612757,1
21000520,1610612737,1610612762,0
21000521,1610612747,1610612756,0
21000522,1610612743,1610612746,0
21000523,1610612742,1610612760,1
21000524,1610612743,1610612758,0
21000525,1610612754,1610612759,1
21000526,1610612741,1610612755,0
21000527,1610612751,1610612764,0
21000528,1610612738,1610612761,1
21000529,1610612745,1610612753,0
21000530,1610612763,1610612762,1
21000531,1610612750,1610612757,1
21000532,1610612748,1610612749,0
21000533,1610612752,1610612756,0
21000534,1610612739,1610612744,0
21000535,1610612747,1610612740,1
21000536,1610612737,1610612754,1
21000537,1610612766,1610612764,1
21000538,1610612749,1610612751,0
21000539,1610612765,1610612755,1
21000540,1610612738,1610612741,0
21000541,1610612763,1610612760,0
21000542,1610612742,1610612753,1
21000543,1610612745,1610612762,1
21000544,1610612758,1610612761,0
21000545,1610612744,1610612746,0
21000546,1610612750,1610612759,0
21000547,1610612739,1610612756,0
21000548,1610612743,1610612740,1
21000549,1610612748,1610612757,0
21000550,1610612747,1610612752,1
21000551,1610612766,1610612763,1
21000552,1610612738,1610612745,1
21000553,1610612741,1610612765,1
21000554,1610612737,1610612749,1
21000555,1610612754,1610612755,0
21000556,1610612758,1610612764,0
21000557,1610612750,1610612759,1
21000558,1610612743,1610612756,1
21000559,1610612752,1610612757,0
21000560,1610612739,1610612747,0
21000561,1610612766,1610612741,1
21000562,1610612742,1610612754,0
21000563,1610612737,1610612761,0
21000564,1610612738,1610612758,1
21000565,1610612765,1610612763,1
21000566,1610612749,1610612759,1
21000567,1610612740,1610612753,1
21000568,1610612745,1610612760,1
21000569,1610612751,1610612756,0
21000570,1610612752,1610612762,0
21000571,1610612744,1610612747,1
21000572,1610612746,1610612748,1
21000573,1610612750,1610612764,1
21000574,1610612760,1610612753,1
21000575,1610612743,1610612748,1
21000576,1610612741,1610612754,0
21000577,1610612749,1610612755,0
21000578,1610612765,1610612761,0
21000579,1610612738,1610612766,1
21000580,1610612752,1610612758,1
21000581,1610612742,1610612759,0
21000582,1610612745,1610612740,1
21000583,1610612739,1610612762,0
21000584,1610612756,1610612757,1
21000585,1610612744,1610612746,1
