column name,column name,column name source
fga_home,field goals attempted; number of field goals that a team has attempted. This includes both 2 pointers and 3 pointers,https://www.nba.com/stats/help/glossary/
fg_pct_home,field goal percentage; percentage of field goal attempts that a team makes;  (FGM)/(FGA),https://www.nba.com/stats/help/glossary/
fg3m_home,3 point field goals made; number of 3 point field goals that a team has made,https://www.nba.com/stats/help/glossary/
fg3a_home,3 point field goals attempted; number of 3 point field goals that a team has attempted,https://www.nba.com/stats/help/glossary/
fg3_pct_home,3 point field goal percentage; percentage of 3 point field goal attempts that a team makes; (3PM)/(3PA),https://www.nba.com/stats/help/glossary/
ftm_home,free throws made; number of free throws that a team has made,https://www.nba.com/stats/help/glossary/
fta_home,free throws attempted; number of free throws that a team has attempted,https://www.nba.com/stats/help/glossary/
ft_pct_home,free throw percentage; percentage of free throw attempts that a team has made; (FTM)/(FTA),https://www.nba.com/stats/help/glossary/
oreb_home,offensive rebounds; number of rebounds a team has collected while they were on offense,https://www.nba.com/stats/help/glossary/
dreb_home,defensive rebounds; number of rebounds a team has collected while they were on defense,https://www.nba.com/stats/help/glossary/
reb_home,rebounds; a rebound occurs when a player recovers the ball after a missed shot. This statistic is the number of total rebounds a team has collected on either offense or defense,https://www.nba.com/stats/help/glossary/
ast_home,assists; number of assists -- passes that lead directly to a made basket -- by a player (for a team),https://www.nba.com/stats/help/glossary/
stl_home,"steals; number of times a defensive player or team takes the ball from a player on offense, causing a turnover (for a team)",https://www.nba.com/stats/help/glossary/
blk_home,"blocks; number of times a offensive player attempts a shot, and the defense player tips the ball, blocking their chance to score (for a team)",https://www.nba.com/stats/help/glossary/
tov_home,turnovers; a turnover occurs when the player or team on offense loses the ball to the defense (for a team),https://www.nba.com/stats/help/glossary/
pf_home,personal fouls; number of personal fouls a team committed,https://www.nba.com/stats/help/glossary/
pts_home,points; number of points scored (for a team),https://www.nba.com/stats/help/glossary/
season_type,Playoff or Regular Season game,NaN
season,"season years, e.g. 2010-11 season",NaN
season_year,season start year,
